20210504_Corbeil,Olink NPX Manager 2.2.3.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPX data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panel,Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Inflammation(v.3022),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022),Olink Target 96 Immune Response(v.3204),Olink Target 96 Inflammation(v.3022)
2-031,1.6366,1.73593,2.23333,0.84028,1.33929,6.11143,4.49556,1.92343,3.57668,1.46204,3.30904,2.72248,0.80395,4.67061,0.95412,3.58713,1.07889,-0.34254,0.1081,3.53788,1.78248,0.30305,3.31142,2.22008,3.32838,2.53768,0.202,1.81044,1.96371,3.19021,1.27757,2.22141,2.41234,8.48386,8.02703,3.04639,2.06104,0.07381,2.03304,-0.51269,2.15725,2.38322,3.70788,0.59221,2.70016,-1.19659,3.52935,1.01111,2.81768,4.64609,0.62084,3.08819,4.03885,0.71563,3.33252,2.60047,2.80038,0.98154,0.64932,6.39486,2.20831,3.77308,1.52754,6.28588,0.74283,4.75863,0.80697,1.44994,3.43529,8.53074,3.66355,2.90651,0.55731,2.78954,2.79948,0.71846,0.64323,2.78672,3.11575,4.26157,3.54679,2.33983,2.41928,2.15942,0.55049,2.7016,-0.40384,3.05888,1.14618,2.40519,2.85552,2.92135,6.39433,12.26237,10.42785,2.80805,2.29201,2.51004,6.28303,4.24649,10.64616,7.89835,10.16289,2.78492,2.64917,13.17012,1.42907,8.90426,1.52518,8.79079,1.24296,6.91681,6.31542,0.46898,-0.39564,7.4433,0.92325,10.33222,0.58561,7.20922,6.19608,10.05901,9.34805,2.40616,4.83881,16.86771,8.32683,6.3474,1.75584,0.8439,1.13142,16.15103,4.32826,5.77138,9.65484,1.53276,6.62588,1.52343,9.07825,5.12514,0.06093,13.54219,4.46218,9.95068,6.76252,0.15187,2.48776,0.52901,9.25987,1.59341,2.79386,10.97885,6.27911,6.3016,9.68038,10.58013,10.34616,6.57008,0.55502,2.17424,2.35289,9.02818,6.16503,11.57167,1.07525,6.8856,9.3115,-0.5848,0.13403,0.53238,10.38106,3.85721,6.17389,3.88434,6.95931,1.45313,9.5837,8.09042,2.69389,3.31355,1.35217,5.55861,4.88979,10.14759,20210504-002_SP210277_IRE,20210504-001_SP210277_INFI,Pass,Pass
2-083,2.08046,2.02758,2.2461,0.59981,0.90744,5.38557,4.7649,1.90637,2.6743,1.78987,2.60006,2.22876,0.57154,4.71346,1.14296,3.85984,0.93967,-0.01413,0.36334,4.24093,1.5592,1.62898,3.31536,2.07263,3.64798,2.06156,-0.37735,2.15135,2.29442,2.68357,1.11082,2.76498,2.26005,8.47161,7.95784,2.35879,2.09774,-0.02579,1.93024,-0.65504,2.71815,1.80511,3.90676,0.73287,2.59697,-1.97777,4.76599,1.8027,1.28475,4.84558,0.94727,3.05278,4.51573,0.16892,3.57636,2.27306,2.3822,1.01556,0.81089,6.01833,1.75052,3.18708,1.67632,6.07862,0.838,4.00794,0.98489,1.04893,3.52562,7.97667,2.47272,2.73417,1.43408,3.41217,2.73708,1.20085,0.62563,2.95912,2.75264,3.91676,3.34824,2.95367,2.52793,1.94971,0.93428,3.0754,-0.62402,2.77793,0.78703,2.06193,2.9804,3.0852,5.83471,12.48592,9.91979,2.54611,1.80963,1.62351,6.37909,3.71949,10.46586,7.94243,10.32256,2.12462,2.89196,12.2008,1.79809,8.27578,2.2094,8.65052,1.35698,7.19919,6.88411,-0.0796,-0.39621,6.49548,0.70071,11.5524,1.70645,6.72904,5.98911,9.64547,8.52871,1.82428,4.24501,15.93971,8.00114,6.02554,1.4037,1.08449,1.21226,16.19348,3.91043,4.35466,9.79867,0.88029,5.78009,1.41992,8.20048,5.12593,-0.10285,13.03041,5.52913,9.41663,7.60072,0.12223,2.53086,0.46248,9.38351,1.24626,2.41296,10.91486,6.02258,5.82621,9.37435,9.84,11.57794,5.64757,0.49837,2.45911,2.01762,9.07393,6.06046,11.61013,0.3725,6.482,8.57984,-0.39588,-0.15744,0.50693,10.59656,3.93495,6.22235,4.02797,6.60585,1.95336,9.69344,8.37316,3.33788,3.32154,0.51031,5.52376,5.02056,10.04743,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
2-059,1.13293,1.87476,1.78875,0.08833,0.76163,7.72283,3.53599,1.75655,3.41638,1.25933,3.18606,2.1111,0.30612,4.53957,0.78634,3.30145,0.86602,-0.48469,1.18798,3.43011,1.61731,0.85043,2.09635,1.27564,4.00713,2.14748,-0.23189,1.57706,1.68773,2.02801,1.08984,2.33774,2.62326,7.9493,7.63214,2.52916,1.46183,0.21186,1.55991,-0.83492,2.06329,2.08772,3.93036,0.40949,2.62563,-1.76789,3.37458,1.38187,0.41771,4.64647,0.44624,2.4492,3.649,0.0502,2.33015,2.15701,2.32316,0.94808,0.28569,6.13489,1.31796,2.06757,2.48933,6.19038,0.80459,5.08546,0.69988,1.05155,2.91394,8.15384,2.23563,2.8513,1.01288,3.00975,2.67243,0.77204,0.67216,1.92496,2.62981,4.29383,3.06985,1.82179,1.88599,1.54133,0.27348,2.42531,-0.83097,2.99723,0.24707,2.45096,2.77568,3.83322,5.99837,11.51629,10.07468,1.28479,1.54764,1.44117,6.16649,3.69413,10.16759,7.26681,9.55139,2.02423,2.75969,11.33812,0.81048,7.07136,0.95492,8.28888,0.37434,7.09376,7.06563,0.04118,-0.54954,5.6767,0.81974,9.8777,0.45622,7.16577,5.83854,9.30571,8.50988,1.9782,3.65084,14.28524,7.5285,5.13045,1.2051,0.81161,0.89599,14.66359,4.02596,2.97478,10.09301,0.68665,5.66551,1.52054,8.37932,4.99359,-0.07538,11.72077,5.29057,8.62469,6.6853,1.01932,0.38819,0.55355,10.03222,1.4964,2.00005,10.83769,5.92291,5.76883,8.57117,8.73551,9.92224,5.04119,0.21024,1.82497,1.62831,8.58374,4.71491,11.00721,0.78472,6.30046,8.1414,-0.41629,-0.38102,0.08344,9.36035,2.8866,5.22611,3.8964,6.97456,1.53914,9.13073,7.37056,2.26547,2.82335,0.47803,4.54529,5.09314,10.15458,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
2-068,2.14626,1.85701,2.9071,0.90037,1.78555,8.55356,4.98847,1.81514,3.11135,1.90653,2.45198,2.55242,0.93102,4.34019,1.02262,3.38046,1.23562,0.38487,0.3442,4.76164,1.69241,0.98345,3.51143,1.34666,2.41742,2.12221,0.55512,1.98052,2.40396,3.33906,0.85028,3.32036,2.32091,8.45165,8.41814,3.20595,2.45825,0.57569,2.18098,0.13043,2.87106,2.3886,4.07542,1.05414,2.33519,-0.6236,4.25458,1.45024,1.06183,4.95946,1.53715,3.30248,3.92687,0.88576,2.08438,2.23486,2.38348,1.31075,0.9554,6.06516,2.27581,3.30238,1.59824,6.16927,1.78317,5.58926,0.9134,1.67153,3.69525,8.28654,2.68588,2.8855,1.26765,3.51401,2.82388,0.83613,0.51018,2.96474,2.90361,4.3409,3.41844,2.21627,2.58161,2.25255,0.82331,3.43249,1.44293,2.86971,0.91157,2.23997,2.82268,3.21228,6.63595,12.17186,9.68171,2.44249,1.92975,2.61731,6.31356,3.24041,10.60808,7.79601,10.00288,2.15544,1.81369,12.53745,0.97978,8.03384,2.14455,8.68024,0.8028,6.98554,7.04925,0.43558,-0.60093,6.33596,0.71529,10.92822,0.36111,7.57935,5.3522,10.12532,8.65298,1.83783,4.29336,15.89497,8.54594,6.92885,2.89006,1.25647,1.08692,16.23283,3.91405,3.32541,8.53231,1.32338,6.04109,2.06592,8.4551,4.84106,-0.00435,13.28735,4.93355,9.1465,6.49067,0.51305,0.35735,0.62369,9.07583,1.49231,2.31447,10.31155,6.34277,6.71045,9.50941,10.32428,9.74086,5.94012,0.30946,2.00545,2.00529,8.61996,6.57811,11.75189,0.34385,5.99571,9.42771,-0.36996,0.01657,0.22271,9.37929,3.92373,7.07725,3.75679,6.59541,1.42936,9.32343,5.40993,2.89803,3.58131,0.68731,5.33044,4.43119,10.40281,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
2-106,1.75305,1.76709,3.22577,0.93675,0.48206,6.34264,4.78285,1.78053,3.06563,1.47887,4.01274,2.05226,0.09959,4.20843,1.36118,3.78364,1.27719,-0.85014,1.78269,4.11656,1.80617,1.21324,3.68596,1.80547,2.76278,1.28864,-0.74224,2.1681,2.26012,2.48508,1.02766,2.45219,2.44158,7.60168,7.65973,2.58107,1.8183,0.72468,2.0702,0.0698,2.66403,1.4396,3.89259,1.28076,2.77964,-1.26573,4.03247,0.54061,1.42104,4.61034,0.80792,2.89415,3.60818,0.78821,2.51755,2.48973,2.39785,1.27545,0.50671,5.37604,1.9433,3.58538,1.18023,5.91166,1.41354,5.13188,0.54705,0.73919,3.73845,7.55475,2.90386,2.80977,0.79347,3.44555,2.41079,0.41447,0.42876,2.27028,2.77831,3.93484,1.8842,2.02641,2.62069,2.09913,0.96709,3.18614,0.56912,2.78126,1.27411,2.18301,2.91663,3.01249,5.59401,11.49532,9.47216,1.59074,1.81186,1.36005,5.99805,3.36758,10.80869,6.99359,9.69722,1.83774,1.54756,12.06512,1.2665,7.63736,2.13616,8.13158,0.62252,5.86284,6.53877,0.2753,-0.46216,6.15398,0.51312,10.11736,0.26616,7.11596,5.70443,10.12688,8.10927,2.56133,4.29116,15.6911,7.75489,5.67879,1.34945,0.96051,1.095,16.08163,4.27733,3.91993,8.8993,1.15316,5.89884,1.25344,8.4556,5.03422,0.04726,13.24005,3.69453,9.05555,6.26938,0.66677,1.07966,0.56297,9.25593,1.05531,2.1125,10.33185,5.64596,6.11425,8.97563,9.49016,9.44158,6.92801,0.38035,2.70851,2.22016,8.75229,5.75089,11.52001,0.47597,5.22968,8.61381,-0.07303,-0.18742,0.22496,10.09503,3.71325,6.29104,4.07449,6.47,1.48576,9.41593,6.01005,3.45433,3.63641,1.00088,4.97099,5.06931,10.04968,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
5-078,2.8564,3.12857,3.79205,2.20615,1.88553,8.02954,5.52472,1.91562,2.86331,1.55618,2.66996,2.30365,0.70493,3.16734,1.53627,3.56574,2.63651,4.48427,1.41687,5.54025,1.56691,1.7985,4.96801,1.62711,3.94937,1.60887,0.25749,2.97549,2.78297,2.76666,1.36586,3.56566,2.11284,8.43705,8.59027,2.88249,2.99995,1.03372,1.54691,0.39876,3.90306,2.1322,3.84662,0.80765,2.32057,-0.57738,4.28559,2.20049,1.22829,5.07407,0.63871,3.80447,4.81366,0.41307,3.48116,3.09075,3.04941,1.42808,1.6664,6.05693,3.01939,4.70893,1.89693,6.54345,2.78919,3.80991,0.91176,1.23635,4.30273,8.29229,2.70584,2.84876,1.15058,2.98218,2.73813,0.14941,1.11789,2.73231,3.06932,4.0948,3.25583,2.96847,3.56901,1.84956,0.99102,3.00448,1.12477,2.51479,1.89485,2.17433,2.9733,2.95085,6.44977,12.68467,10.12708,2.64874,1.89619,1.76231,5.8802,3.13435,10.33283,7.88906,9.91003,2.32278,2.78139,12.6621,1.15938,7.71108,3.37332,8.439,0.47893,6.78682,6.66918,0.15575,-0.40563,7.10551,0.70678,10.42271,0.38064,6.88768,5.64262,9.99066,7.59113,2.03527,4.68674,15.21055,8.67104,6.51665,1.28084,1.23517,0.94553,14.88648,3.85753,4.99471,8.95617,1.13156,6.01806,1.66977,8.55962,5.29864,-0.09478,12.72209,4.95121,9.7267,5.56857,0.8801,0.02512,0.17276,8.92743,1.7094,2.35347,10.82264,5.70634,5.94693,9.04933,10.95016,9.64208,8.94898,0.2967,3.8332,2.5496,8.4825,6.93135,11.51009,0.48798,5.29308,9.36291,-0.37982,-0.31087,0.0935,10.55193,3.81403,6.65,4.11672,6.44991,1.24371,9.37499,7.2075,3.68319,4.62015,1.74747,5.56399,5.04199,10.00864,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
3-021,1.49706,1.68396,2.05059,0.62986,0.94502,7.17846,3.95923,2.30628,3.32093,1.50688,4.41761,2.80051,0.42493,4.59009,1.16036,3.74553,1.36626,-0.40982,0.28756,4.69478,1.57738,1.09942,3.16437,1.67717,4.78302,1.35999,0.09412,1.72999,2.08009,2.93581,1.08419,3.84653,2.30081,8.7188,8.15755,3.24622,1.70526,-0.11415,2.57455,-0.72528,2.55288,1.80168,4.20836,0.42822,2.95706,-0.97085,3.62955,0.92965,0.76233,4.95296,0.99113,2.98718,3.63707,0.33087,3.07372,2.80211,3.37849,1.33757,0.70843,5.77602,1.71149,3.459,1.5366,6.79309,0.84366,5.4085,0.94158,0.7864,3.48292,8.3761,3.24986,3.33766,0.92187,3.79927,2.81418,0.63009,0.53856,3.21186,3.09389,5.43233,3.5924,2.95103,2.63433,2.03956,0.85349,3.58461,-0.91844,2.48538,0.75797,2.56072,3.16751,2.91326,7.10684,11.5058,8.7927,2.40814,1.81099,2.51569,5.83145,3.42625,10.38993,7.21008,9.74396,2.46274,2.16517,12.4911,0.84307,7.75456,1.36926,7.96508,1.0276,8.48886,7.13984,0.97362,-0.28538,5.68405,0.31375,10.38236,0.4695,6.75144,5.59405,9.39196,8.83057,2.07251,4.28604,14.39602,7.83497,5.15336,1.31426,0.32904,1.03812,15.28557,3.92927,7.37961,8.36243,1.35783,6.22101,2.07358,8.38612,4.82157,-0.04648,12.74692,3.79304,8.90346,5.98813,2.47174,0.4731,0.49977,10.03009,1.78847,2.45326,9.94816,5.63974,5.92039,9.28781,9.10256,9.69879,6.23589,0.4895,1.79666,2.34092,8.36804,5.0795,11.49342,0.67347,7.4973,10.3097,0.03571,-0.24174,0.14416,9.53916,3.31467,6.38981,3.91661,6.43378,1.5417,8.82005,5.80536,2.00472,3.31531,-0.0861,4.79227,4.57134,9.93596,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
3-045,1.95305,0.90586,3.73616,0.57669,1.29569,6.84871,4.44828,1.59327,3.2993,1.22779,3.15917,1.73253,0.76176,3.73596,1.26843,3.80307,1.54698,-0.12021,0.3467,4.86586,1.4229,1.32687,3.41776,0.91024,3.06771,2.48979,0.1205,1.95153,2.23375,2.63474,1.28311,2.9249,2.10998,8.15256,7.67766,2.74748,2.58554,0.25469,2.20337,-0.47544,2.48371,2.45759,3.91312,0.72797,2.73249,-1.24686,3.10793,1.27616,0.82023,5.06845,0.12442,3.00576,3.9266,0.4297,2.9021,2.1756,1.84749,1.27149,0.77729,6.06221,1.82737,3.17074,0.99982,5.59473,2.88766,4.89126,1.05815,1.26842,3.47477,8.21819,3.47491,2.318,0.8776,5.30557,2.47032,-0.0052,1.80565,2.57479,3.12934,4.08214,3.25985,2.36233,2.72983,1.41438,1.52869,2.97495,1.01453,2.54152,1.16217,2.28227,2.79176,2.7408,5.71502,11.96314,10.62495,2.12189,1.92305,2.08768,6.21613,3.21554,10.95198,7.06266,10.04822,1.73532,2.21717,11.95251,2.57712,7.16846,1.85189,8.16607,0.82797,6.09015,6.90934,0.72905,-0.13767,5.94633,1.13488,10.24166,0.8827,6.63178,6.46301,9.87622,8.85445,1.91775,4.199,15.34961,7.86348,6.20146,1.87481,0.8297,1.29433,15.73036,4.02056,4.17166,9.11243,1.4352,6.27971,2.08197,8.32686,4.97226,0.0091,13.67849,4.7575,8.95771,7.04606,1.05265,3.09761,0.71518,10.60004,1.63137,2.09623,10.66098,6.09895,5.48349,9.06852,9.10574,8.69596,6.45109,0.76448,2.38506,1.75305,8.40845,6.08483,11.39752,1.21656,6.39656,8.82304,-0.33269,0.50747,0.50567,9.60631,2.946,5.50081,3.81752,6.49069,2.10014,9.58094,5.54263,2.85715,3.55043,0.60727,4.99141,4.99183,10.18679,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
CONTROL_SAMPLE_US_CS_AS_2 3,0.36511,0.08352,1.38981,0.06351,-0.11855,5.95842,1.79227,0.58651,2.11688,0.2898,0.71367,0.76999,-0.15293,2.70746,0.25499,2.87597,0.13571,-1.04373,-0.39946,1.10705,0.49801,0.0388,0.77685,0.28223,2.46637,0.63787,-0.09696,0.56561,1.01578,1.82216,0.64064,2.47049,2.254,7.49912,6.80481,1.8117,0.47422,0.15984,1.2534,-0.37122,0.97225,0.91583,3.2861,-0.14104,2.23757,-1.83296,1.60357,4.98332,0.48689,3.44791,0.49166,1.78112,1.70259,-0.02161,2.36745,1.31443,1.70204,1.56798,-0.64333,5.34299,-0.02824,0.17664,0.18514,5.19079,1.34523,3.62864,0.88156,-0.02121,2.02231,6.70809,2.03458,1.55388,-0.04002,2.51174,1.51956,0.44068,0.31509,2.96173,1.44452,3.77694,2.3256,1.03766,1.63911,0.89483,0.1036,2.23254,0.27419,1.94171,4.35327,1.33968,2.37839,1.15343,4.32701,10.10356,8.88236,0.63045,1.50214,1.59735,5.15856,0.69072,9.63409,4.70426,9.12853,0.93456,1.96107,11.90639,0.76646,5.72614,0.21698,7.56794,0.4954,6.22814,6.0711,0.16138,-0.84882,3.42605,-0.00288,5.22351,0.14547,4.56793,5.50014,8.90964,8.35648,1.68773,2.12972,12.83965,7.15084,2.98517,1.21742,0.3677,0.44092,11.96887,3.16208,3.82804,7.85361,0.30653,5.38203,0.54767,7.37476,4.39158,-0.12415,5.52663,4.41646,7.48721,5.62008,-0.59393,0.89762,-0.03004,8.81207,2.14963,1.50592,8.9301,4.67848,4.31239,8.2839,5.71745,8.33501,4.16694,-0.13699,0.37176,1.66177,8.27617,3.37014,10.08476,0.35052,6.09138,7.73999,-0.80177,-0.2413,0.96081,7.38977,1.32096,5.21371,2.82858,6.00713,1.14452,8.10885,6.84798,0.19951,2.53692,5.36349,4.71005,3.94408,9.49911,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
1-100,1.17854,0.74802,2.46323,0.82928,0.85313,6.83356,3.28861,2.5351,2.57994,1.45349,2.51389,2.22359,0.234,4.24974,0.92577,3.64825,0.95655,0.0048,0.49606,3.52613,2.07223,1.32115,2.91002,1.68442,4.20565,1.62417,-0.11951,1.37851,2.28473,3.00147,1.46853,3.46789,3.48242,8.00007,8.11605,2.79229,1.47741,0.01029,2.4875,0.04897,1.98792,1.92809,4.14136,0.39564,2.98492,-1.19893,3.61424,1.45108,0.93989,5.055,0.52513,2.66156,3.34833,0.52938,2.79258,2.47182,2.46888,0.94123,0.09803,6.38786,1.24011,2.05337,0.91588,5.9099,1.1006,5.7913,1.04001,1.36884,3.28188,8.07565,4.04559,2.84851,1.19314,3.60522,1.7608,-0.10191,0.54084,2.74728,2.59709,4.98294,3.73021,2.43905,1.91448,1.59888,0.01135,2.71187,0.01225,3.18702,1.11631,2.53506,3.36729,3.04696,6.59923,12.02945,9.84221,1.5046,2.00025,1.92925,6.11114,3.28022,10.33577,6.96719,9.87161,1.96341,2.68905,12.51236,2.73582,7.51209,1.34833,7.98703,0.66571,6.61567,7.02723,0.62817,-0.47122,6.08211,0.35765,10.07302,0.85049,6.33169,5.5828,10.00546,8.67455,2.60552,4.10524,15.54602,8.13441,5.33251,1.48935,0.76058,1.36858,15.90096,4.10958,5.00601,9.81604,1.45444,6.46924,1.76166,8.33546,5.30975,0.89989,13.24153,4.47178,8.86803,6.92497,0.16658,0.34765,0.72427,10.27767,1.17013,2.56779,10.68971,6.40978,6.40541,8.99482,9.42242,8.75485,5.82526,0.24638,1.66673,2.27942,8.91574,4.31463,11.71612,0.41646,5.93757,7.88053,-0.80981,-0.31617,0.52788,8.74179,2.04956,6.41377,4.68128,7.02199,1.88047,9.83256,7.74266,2.47102,3.24306,0.97239,5.0296,5.34499,10.08798,20210504-004_SP210278_IRE,20210504-003_SP210278_INFI,Pass,Pass
